SSDSE-A-2022,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
R41202,ç≤âÍåß,ìÇí√és,117373,55015,62358,116391,54731,61660,16016,8273,7743,62594,30479,32115,38363,16034,22329,19481,6995,12486,722,847,1666,2405,3061,44192,44011,112671,23923,12882,11349,5510,6179,397,210,48760,23338,5459,44,7,5,487,359,6,22,142,1501,89,255,154,854,490,118,495,73,358,44350,550,71,41,3953,6737,185,128,1673,9429,767,544,847,4713,1879,910,8700,822,2401,3200,1005,92.7,12.3,70949537,12806272,69792579,23694410,5190779,8195096,1252068,2,155,36,561,6740,21,390,3854,0,0,0,0,7,3353,56466,29205,27261,2303,1503,800,38227,13845,24382,5930,12895,36706,28,2,121454,13168,1211,722,12,15,98,58,285,75,250,43
R41203,ç≤âÍåß,íπê≤és,74196,35528,38668,72035,34354,37681,11203,5766,5437,43865,21501,22364,17938,7566,10372,9061,3385,5676,1064,625,705,3212,3053,29816,29709,71445,17311,9894,6153,3160,2570,300,115,7172,4835,3106,10,0,0,207,190,6,13,198,993,42,151,115,329,229,104,289,14,216,40434,135,0,0,1506,8278,179,276,6476,8116,521,693,596,2982,1315,752,5604,308,2697,167,280,85.4,2.9,27558834,13366015,26439601,10686240,2381905,2749407,222975,5,705,8,326,4745,5,185,2506,0,0,0,0,3,1923,34286,18238,16048,1230,753,477,21060,7240,13820,542,8238,24647,0,1,73683,4762,685,279,6,7,72,40,160,58,239,20
R41204,ç≤âÍåß,ëΩãvés,18295,8555,9740,18121,8468,9653,2110,1028,1082,9416,4681,4735,6753,2835,3918,3326,1137,2189,165,104,279,481,596,6773,6738,17430,3769,1817,2043,901,1053,46,29,9696,4814,828,9,1,0,103,78,0,4,29,206,8,14,25,88,72,25,70,12,84,7187,50,6,0,619,1981,0,25,630,1171,88,42,81,346,330,125,1315,71,307,665,224,103.6,11.1,14888849,1927963,14075252,3766869,845613,843386,722658,0,0,0,0,0,0,0,0,3,139,924,441,1,357,9028,4770,4258,431,287,144,6388,2281,4107,705,2410,5690,6,1,19067,8385,171,77,1,2,11,8,27,9,29,13
R41205,ç≤âÍåß,à…ñúó¢és,52629,25445,27184,51983,25010,26973,7293,3736,3557,28119,14359,13760,16919,7154,9765,8473,3019,5454,447,371,722,1291,1536,19984,19915,50819,10761,5903,5057,2461,2519,202,95,25525,11491,2629,7,1,2,252,268,6,8,67,666,41,103,80,354,245,92,231,31,175,26191,85,7,13,2032,8000,58,108,1152,4192,443,277,494,1930,1148,416,4392,473,971,1997,631,93.4,14.8,28474000,7185070,28228398,10590063,1752161,2559162,330388,2,110,14,256,3047,7,135,1384,1,27,129,62,5,1539,26849,14520,12329,1126,703,423,16291,5881,10410,2123,8526,16061,13,1,54672,14289,527,298,3,8,41,25,92,29,84,24
R41206,ç≤âÍåß,ïêóYés,47914,22727,25187,47438,22537,24901,6547,3401,3146,25940,12765,13175,15064,6377,8687,7670,2758,4912,209,378,603,1495,1541,17624,17554,46217,9604,4842,4472,2087,2025,203,67,19540,9073,2509,23,0,0,241,241,4,20,32,640,44,120,86,332,216,73,219,23,195,20643,159,0,0,1676,3743,89,94,538,3961,454,301,370,2260,923,282,4048,393,1352,467,812,94.3,8.6,26700800,5707098,25582209,9229695,2143631,2525771,624762,3,83,14,231,2733,6,137,1614,0,0,0,0,1,707,24207,12760,11447,826,510,316,14588,5151,9437,1301,6478,15683,10,1,48896,13689,517,253,4,4,46,23,101,33,113,15
R41207,ç≤âÍåß,é≠ìáés,27892,13140,14752,27705,13059,14646,3784,1964,1820,14918,7231,7687,9141,3914,5227,4653,1759,2894,157,201,367,675,874,10046,10006,27298,5574,2480,2801,1390,1290,93,31,11212,5871,1563,14,1,0,166,105,1,5,23,433,31,88,45,186,154,52,128,13,118,12303,82,3,0,1101,2589,6,11,365,2608,307,197,210,948,592,188,2165,166,765,878,359,95.9,7.9,15145409,3074695,14844285,5957853,1302379,1517651,28757,1,32,8,134,1584,2,64,793,0,0,0,0,2,754,14911,7636,7275,508,327,181,8273,2980,5293,1899,3752,9050,7,1,29050,12020,348,167,4,4,18,16,55,19,45,15
R41208,ç≤âÍåß,è¨èÈés,43952,20772,23180,43559,20626,22933,6124,3109,3015,24623,11903,12720,12599,5446,7153,6215,2312,3903,274,394,472,1310,1609,15907,15862,43116,9707,3575,4134,2005,1636,186,74,9581,7197,1514,18,0,0,195,116,1,2,38,429,20,55,32,128,142,32,132,14,159,13987,193,0,0,1420,1879,0,10,678,2938,177,183,102,718,2207,200,2270,226,784,538,263,97.9,6.2,23299522,4367240,22532942,7282000,1750088,2214009,202774,2,121,8,203,2553,4,113,1246,0,0,0,0,2,1066,22188,11648,10540,943,614,329,13150,4618,8532,1462,5308,14928,9,2,45245,12419,341,103,5,3,32,21,84,22,77,11
R41209,ç≤âÍåß,äñÏés,25848,11995,13853,25643,11901,13742,3225,1617,1608,13334,6503,6831,9219,3836,5383,4868,1738,3130,157,173,395,776,823,9157,9092,24193,4690,2501,2448,1167,1230,94,30,12641,5317,1289,10,0,0,139,133,0,3,23,340,11,35,29,203,120,28,131,11,73,10519,142,0,0,831,1513,0,37,231,1597,115,70,91,1712,435,163,3161,100,321,1050,567,93.5,9.6,17396135,2642346,16782299,5316285,965424,971855,131818,2,87,9,133,1385,4,77,634,0,0,0,0,2,460,13393,6857,6536,449,284,165,8419,3061,5358,1031,3160,8947,3,2,25984,9535,283,151,0,4,18,12,143,20,79,11
R41210,ç≤âÍåß,ê_çÈés,31022,14884,16138,30472,14652,15820,3934,2047,1887,16890,8427,8463,9762,4176,5586,4954,1858,3096,206,215,380,1071,1209,11452,11413,29986,6495,3035,3101,1509,1190,126,52,12513,6670,1124,18,0,2,160,139,0,0,35,277,15,42,27,108,85,19,85,15,97,10144,238,0,9,920,2954,0,0,751,1571,150,114,97,523,335,369,1488,219,406,435,153,93.5,9.7,18905379,3472867,18376047,5211364,1022250,1386615,193653,0,0,7,127,1679,3,75,839,0,0,0,0,2,831,15239,8155,7084,517,323,194,9202,3253,5949,1198,4047,9419,3,3,31588,5522,225,80,0,3,23,15,34,17,42,10
R41327,ç≤âÍåß,ãgñÏÉñó¢í¨,16323,7990,8333,16004,7864,8140,2430,1249,1181,9759,4921,4838,3970,1728,2242,1880,721,1159,192,147,153,889,918,6137,6084,15611,3611,1704,1407,659,601,89,25,4399,2383,478,5,0,0,29,58,0,0,27,125,7,16,8,73,44,10,40,5,31,7115,129,0,0,255,2953,0,0,588,838,38,44,110,595,140,87,1055,35,248,139,143,92.8,10.9,8760986,2245760,8538448,2226944,740848,1131618,69911,2,118,2,65,1039,2,42,471,0,0,0,0,0,0,8103,4418,3685,357,213,144,4655,1712,2943,382,2175,5429,2,0,16157,1238,99,63,1,1,11,6,65,9,44,4
R41341,ç≤âÍåß,äÓéRí¨,17250,8174,9076,16899,8045,8854,2169,1100,1069,9595,4574,5021,5344,2419,2925,2425,977,1448,247,125,181,688,687,6756,6733,16759,4309,1756,2068,1137,602,58,24,2215,1265,616,3,0,0,72,51,0,3,44,175,7,37,17,48,43,23,43,4,46,7634,33,0,0,390,2098,0,16,1704,1217,55,81,72,350,93,194,802,39,490,80,190,95.8,8.3,9427670,2422748,9112411,2924278,812504,734644,415630,1,136,2,62,857,2,47,543,0,0,0,0,1,250,8401,4438,3963,344,208,136,5686,2076,3610,235,2080,5924,0,1,17428,714,135,41,0,1,13,7,15,9,25,3
R41345,ç≤âÍåß,è„ïÙí¨,9286,4455,4831,9017,4327,4690,1391,734,657,5258,2544,2714,2422,1057,1365,1167,455,712,56,85,88,501,468,3598,3594,9161,2161,1026,845,442,380,48,17,1280,1122,366,3,0,0,29,47,0,0,19,85,4,7,8,31,44,18,36,2,33,4537,8,0,0,136,1824,0,0,437,683,79,38,20,178,302,63,561,15,193,65,55,93.3,12,12467401,1423107,12184275,1367831,327754,704859,20693,0,0,1,41,608,1,27,293,0,0,0,0,0,0,4330,2303,2027,156,89,67,2598,908,1690,165,1252,2808,1,1,9575,311,72,26,2,1,5,4,9,4,11,3
R41346,ç≤âÍåß,Ç›Ç‚Ç´í¨,25511,12170,13341,25291,12090,13201,3337,1730,1607,13258,6587,6671,8842,3815,5027,4501,1776,2725,171,208,301,996,840,9229,9195,24362,5584,2171,2887,1435,1190,82,41,5192,4278,871,12,0,0,108,104,0,2,31,220,9,26,25,67,84,24,80,12,67,9402,154,0,0,534,2703,0,13,715,1589,61,169,125,430,385,91,1828,136,469,302,161,94.3,10.9,17584019,2754255,16982997,4639046,2373771,1377089,20280,4,207,4,90,1289,3,65,589,0,0,0,0,1,597,11678,6305,5373,470,268,202,8852,3247,5605,722,3287,7433,1,1,25706,5896,170,51,3,2,17,14,48,15,45,3
R41387,ç≤âÍåß,å∫äCí¨,5609,3067,2542,5601,3064,2537,610,319,291,3081,1847,1234,1774,762,1012,895,316,579,8,32,77,185,247,2231,1926,5188,695,722,436,182,176,16,11,3592,2588,254,4,0,0,58,22,2,0,7,48,5,1,4,34,19,3,11,7,29,3337,33,0,0,1006,96,606,0,98,200,10,0,9,173,84,16,197,52,757,440,103,70.8,0.6,9129016,3935847,8919826,1280016,753392,633648,45039,0,0,0,0,0,0,0,0,1,42,291,147,1,207,3224,1982,1242,102,73,29,1523,550,973,679,816,1729,2,1,5574,560,40,20,0,0,3,2,2,4,5,2
R41401,ç≤âÍåß,óLìcí¨,19010,8780,10230,18862,8720,10142,2433,1218,1215,9841,4808,5033,6717,2746,3971,3540,1247,2293,144,113,271,423,577,6981,6957,18341,3961,1720,2143,1058,938,60,30,6585,2909,1265,4,0,0,83,292,0,5,17,449,18,17,29,89,92,30,64,8,68,8375,49,0,0,513,3088,0,24,255,2034,159,33,85,489,266,139,881,58,302,563,174,94.1,8.8,11727566,1814320,11466187,3282632,874300,1221571,37103,0,0,4,82,1092,2,46,497,0,0,0,0,1,587,9804,5068,4736,304,184,120,6237,2196,4041,377,3208,6112,2,2,19852,5673,318,79,1,1,19,9,35,11,28,8
R41423,ç≤âÍåß,ëÂí¨í¨,6293,2903,3390,6269,2893,3376,643,329,314,3072,1511,1561,2566,1054,1512,1265,424,841,16,33,116,163,173,2455,2443,5939,1355,729,762,367,477,20,4,1150,814,261,8,0,0,30,16,0,0,5,68,6,6,6,32,25,10,24,5,20,2482,45,0,0,176,1071,0,0,35,244,29,35,21,140,65,38,422,96,65,59,23,98.2,7.8,5822281,707777,5607939,1473935,129662,299132,159182,0,0,0,0,0,0,0,0,1,41,269,132,1,224,2853,1474,1379,141,98,43,2537,927,1610,170,757,1884,1,0,6433,2766,56,27,0,1,6,4,9,6,9,1
R41424,ç≤âÍåß,ç]ñkí¨,9566,4460,5106,9493,4447,5046,1434,727,707,5366,2592,2774,2723,1121,1602,1394,455,939,67,112,114,366,413,3433,3421,9312,1977,834,796,340,356,44,14,2449,2071,394,7,0,0,54,11,0,0,8,134,6,18,5,39,36,8,31,3,34,3599,80,0,0,301,956,0,0,73,853,65,34,11,212,174,14,674,29,123,192,36,91.4,11.4,6118619,1068912,5863686,1554289,1208679,428785,68835,1,45,1,38,556,1,26,254,0,0,0,0,0,0,5152,2690,2462,192,122,70,2653,848,1805,519,1347,3182,1,0,9697,1471,112,30,1,2,6,5,14,5,15,3
R41425,ç≤âÍåß,îíêŒí¨,22051,10358,11693,21874,10312,11562,2605,1378,1227,11436,5675,5761,7984,3291,4693,4351,1466,2885,156,112,338,478,579,7247,7221,21112,3872,1444,2197,993,846,67,20,9956,8889,938,20,0,0,130,46,0,1,17,272,18,13,15,88,92,19,88,15,104,7317,92,0,0,654,649,0,13,437,2043,136,39,36,444,243,62,2010,137,322,1613,149,96.6,9.2,15496885,2180611,15081036,3685301,1149249,1382634,54711,0,0,8,132,1158,3,65,582,0,0,0,0,2,714,12201,6393,5808,330,203,127,6558,2192,4366,2936,2334,6543,4,1,22889,9021,224,77,3,4,19,9,55,9,41,9
R41441,ç≤âÍåß,ëæó«í¨,8121,3842,4279,8064,3820,4244,889,456,433,4072,2058,2014,3159,1327,1832,1772,671,1101,57,40,139,141,237,2788,2777,7828,1467,627,885,436,407,27,9,7430,3274,356,14,1,2,67,23,0,1,6,99,7,1,3,38,28,10,28,5,23,2430,161,7,12,525,216,0,3,31,434,30,7,5,306,56,33,449,42,113,629,196,91,4.2,7078089,754529,6915599,1615279,344769,486124,65363,0,0,2,36,364,2,32,213,0,0,0,0,1,167,4563,2443,2120,131,90,41,2523,845,1678,1340,1096,2117,2,1,8732,3733,82,25,0,1,3,3,9,4,6,4
R42201,í∑çËåß,í∑çËés,409118,188519,220599,401784,184557,217227,46771,23975,22796,223535,106195,117340,132604,54621,77983,66770,24031,42739,2601,2608,5205,11104,13129,187423,186988,395805,102464,72676,47236,25442,28881,1567,614,40586,18752,18840,25,27,2,1381,809,26,180,418,5216,368,1496,779,2514,1787,516,1933,127,1236,187492,175,566,39,11373,17033,913,3195,7550,37157,7760,4470,7515,19656,9687,7326,37898,1420,13759,1215,1732,97.6,7.9,218376604,55383112,213222346,84850101,24410407,17525628,195193,33,2487,73,1388,19908,51,883,10122,0,0,0,0,20,10818,184533,95201,89332,8131,4924,3207,145123,51171,93952,3011,31003,145240,26,3,417381,20038,3998,2115,53,37,544,272,2017,564,1288,118
R42202,í∑çËåß,ç≤ê¢ï€és,243223,115131,128092,239760,113274,126486,31507,16035,15472,131710,65430,66280,77173,32069,45104,39263,14207,25056,1611,1881,3285,7639,9423,104053,103624,230310,57644,37357,26258,14136,15964,1071,429,42601,20578,10769,25,40,0,968,574,10,71,226,3033,204,613,393,1426,1057,314,989,91,735,96038,293,875,0,7463,9233,352,810,4602,21636,3249,1881,2119,10079,5716,3028,17939,727,6036,2228,1038,92.5,4.5,136677733,29785825,132355607,47514616,12587357,13996437,593376,28,2736,45,907,13535,27,533,6711,2,27,38,20,14,6475,114159,61742,52417,4801,2938,1863,81356,28397,52959,4260,21172,86458,28,1,249996,55803,2345,1170,32,18,222,131,695,190,509,76
R42203,í∑çËåß,ìáå¥és,43338,20157,23181,42870,19982,22888,5462,2841,2621,22194,10831,11363,15523,6388,9135,8310,3026,5284,361,283,639,1173,1423,17095,16966,41036,9087,5386,4649,2527,2620,123,64,8296,4751,2603,30,3,0,232,154,3,11,43,755,45,100,73,365,269,78,231,21,190,18893,325,13,0,1542,2549,67,98,801,4348,406,203,297,1810,776,383,3999,359,917,999,439,91.2,3.3,24628351,4793082,24092744,9703885,968855,2006417,2528634,2,0,10,175,2278,5,96,1131,0,0,0,0,5,1761,20946,10748,10198,812,485,327,15087,5566,9521,2977,3839,13827,7,2,44997,21043,600,302,2,7,40,28,122,41,109,26
R42204,í∑çËåß,Ê|ëÅés,133852,63544,70308,132986,63192,69794,17924,9307,8617,75013,36789,38224,40900,17439,23461,20534,7737,12797,866,957,1592,4347,4501,53235,53050,128362,32113,15562,14177,7528,6536,495,209,34179,19898,5990,47,3,10,651,303,7,37,143,1650,103,262,225,739,566,179,603,43,419,59150,694,18,160,4850,9947,99,400,3006,11916,1169,769,951,4798,2601,1316,11685,653,4118,2581,1736,95.9,7.2,67700197,17008315,66770063,25212318,6585184,6374942,79868,10,1074,28,503,7558,17,331,4105,0,0,0,0,8,6239,64116,33714,30402,2444,1512,932,42534,15523,27011,3513,14001,44308,15,4,135597,25840,1212,632,13,15,128,64,383,101,276,54
R42205,í∑çËåß,ëÂë∫és,95397,45448,49949,94077,44705,49372,14964,7696,7268,55134,26664,28470,24034,10309,13725,11683,4454,7229,362,894,913,4709,4333,39002,38846,91871,23568,12369,8596,4785,4486,447,155,12673,6730,3371,14,2,0,241,193,8,16,87,944,45,163,103,502,353,137,351,22,190,32873,279,14,0,1926,4943,199,121,2079,7250,431,643,475,3141,1462,862,6722,708,1618,938,521,97.3,8.8,50272351,11903275,49266994,19041993,7235900,3339535,56329,6,679,15,375,6231,6,217,2912,0,0,0,0,4,3146,44832,23908,20924,1696,990,706,27771,9687,18084,1683,8597,33448,4,1,96866,2030,722,421,17,6,88,50,399,64,195,32
R42207,í∑çËåß,ïΩåÀés,29365,13771,15594,29180,13692,15488,3382,1730,1652,13778,6995,6783,12151,5015,7136,6615,2263,4352,154,192,560,638,891,12009,11962,28159,6152,3939,3643,1977,2383,83,32,23512,10271,1705,16,15,1,194,122,5,4,35,493,23,48,40,199,161,43,116,37,153,10976,138,259,10,1140,1308,83,4,428,2165,207,143,168,1032,412,105,2471,359,544,1597,823,91.1,4.7,25958238,2806128,25125070,6814887,1556815,2456386,367090,1,49,15,175,1450,9,108,735,0,0,0,0,3,561,14226,7806,6420,478,327,151,10692,3611,7081,2497,2669,8766,6,2,30641,18232,436,136,2,6,19,12,51,17,41,17
R42208,í∑çËåß,èºâYés,21271,10278,10993,21012,10181,10831,2575,1278,1297,10573,5481,5092,7843,3353,4490,4066,1464,2602,233,119,364,573,761,8789,8762,20674,4497,2989,2430,1276,1513,66,29,13055,6926,1022,6,37,1,104,74,2,2,37,316,16,13,22,123,90,11,81,20,67,8493,51,296,7,918,1986,132,2,573,1479,121,33,141,555,236,73,1385,89,416,1025,353,98.2,12.3,20894143,3543984,19662041,5806198,1572123,1934388,381354,0,0,9,127,1207,7,93,555,0,0,0,0,1,258,10934,6000,4934,408,252,156,6789,2430,4359,1370,2978,6187,8,2,22447,13064,256,86,1,3,18,7,20,11,16,14
R42209,í∑çËåß,ëŒînés,28502,14060,14442,28322,13977,14345,3311,1751,1560,14166,7548,6618,10989,4736,6253,5615,2132,3483,150,163,487,1122,1484,12681,12642,27359,6716,4617,3629,2205,2266,90,45,70742,7460,1945,12,40,1,170,123,3,8,61,530,22,116,42,262,185,28,119,65,158,9532,90,420,14,1272,617,76,49,548,2332,159,199,114,1068,387,94,1133,387,573,541,570,87.4,5.8,33261701,3022354,32107142,6654965,1835485,4447752,397900,3,79,19,212,1414,12,148,715,0,0,0,0,3,578,14059,8268,5791,530,340,190,10168,3471,6697,2588,1860,9384,7,1,30465,17567,420,162,3,2,34,14,56,19,43,8
R42210,í∑çËåß,àÎäÚés,24948,11837,13111,24846,11814,13032,3213,1661,1552,12062,6154,5908,9640,4013,5627,5270,1912,3358,79,156,454,730,892,9726,9706,24249,4922,2999,2761,1465,1728,58,42,13942,8360,1519,21,8,3,147,108,6,8,70,535,13,29,28,192,134,13,69,23,112,9065,123,98,26,1112,768,80,45,574,2287,143,80,88,913,379,41,1546,236,526,1500,780,94.8,6.4,26564231,2273377,25792248,5785259,1489327,3280737,1006520,8,212,18,212,1425,4,74,761,0,0,0,0,2,663,11503,6224,5279,480,326,154,8849,3185,5664,1933,1731,7741,14,2,26518,14625,445,129,2,5,17,10,43,13,42,7
R42211,í∑çËåß,å‹ìáés,34391,16141,18250,34220,16070,18150,3611,1800,1811,16677,8314,8363,14002,5961,8041,7482,2747,4735,128,189,670,1234,1214,16526,16387,32760,9263,6385,4844,2952,3701,104,43,42012,14647,2322,29,19,2,216,131,4,14,59,697,22,54,58,329,217,57,190,55,169,12464,229,234,28,1205,829,42,114,516,2914,195,141,178,1205,541,201,2681,460,751,1030,464,93.2,5.7,37375870,3562142,36028674,8118326,1815506,3444958,217753,3,172,15,166,1574,12,140,844,0,0,0,0,4,808,15166,8204,6962,549,358,191,13646,5043,8603,2187,1913,10696,18,1,36733,17205,581,234,3,4,39,15,79,17,50,14
R42212,í∑çËåß,êºäCés,26275,13120,13155,25815,12745,13070,2836,1440,1396,13084,7103,5981,10182,4404,5778,5467,1995,3472,458,161,468,731,908,11180,11131,25116,5772,4021,3194,1745,1873,81,25,24160,10615,1121,26,7,0,144,88,2,3,37,282,7,14,18,132,100,19,115,35,92,10593,305,79,0,1089,2758,55,4,481,1621,96,62,113,692,372,150,1875,210,631,963,684,87.7,-2.1,24022704,3190309,22773131,6694482,1764503,1884399,57289,4,114,13,147,1267,6,75,560,0,0,0,0,3,430,13310,7630,5680,427,275,152,9124,3388,5736,1989,4052,7126,13,2,27543,6872,238,87,3,1,22,11,38,11,22,18
R42213,í∑çËåß,â_êÂés,41096,19378,21718,40625,19270,21355,4914,2501,2413,21437,10641,10796,14677,6197,8480,7880,2808,5072,423,243,609,1089,1327,15141,15008,39329,7931,4116,4285,2068,2156,120,39,21431,11026,2083,43,4,0,212,128,2,4,45,594,21,76,54,231,209,61,259,26,114,15705,607,38,0,1223,2240,23,143,515,3041,182,264,133,1968,540,267,3858,149,514,2567,962,84,3.2,32331292,3939746,30840958,10027966,2544602,2558468,51321,0,0,17,222,2143,7,101,1041,0,0,0,0,2,322,21490,11264,10226,662,426,236,12970,4635,8335,4761,4116,12119,11,1,43405,18922,506,163,1,4,36,23,82,35,57,28
R42214,í∑çËåß,ìÏìáå¥és,42330,19598,22732,42066,19558,22508,4735,2350,2385,20469,9983,10486,17109,7252,9857,9300,3466,5834,259,237,765,723,1023,16060,15922,40380,8954,4131,5281,2939,2633,96,46,17013,10968,2444,40,2,2,253,437,0,4,36,671,26,65,48,181,211,46,252,26,144,14714,336,19,6,1174,2667,0,9,329,3493,216,150,120,956,654,181,3587,129,688,1988,1138,86.3,-2,35665619,3625421,33745617,9921442,2506478,4438756,252041,1,69,17,205,2083,8,115,1098,0,0,0,0,2,355,20861,10747,10114,750,480,270,15499,5786,9713,4669,3744,12343,14,6,45418,20997,555,144,1,4,31,23,53,27,41,30
R42307,í∑çËåß,í∑ó^í¨,40780,19196,21584,40574,19115,21459,5932,3027,2905,23607,11256,12351,11105,4838,6267,5425,2130,3295,162,343,343,1645,1913,16011,15981,39927,11064,3709,4280,2486,1458,136,55,2873,1870,1145,2,0,0,126,53,0,3,26,345,15,58,30,94,135,51,140,7,60,9239,18,0,0,667,665,0,8,634,2231,383,168,96,738,603,435,2238,55,300,342,124,95.1,7.5,13634517,4688185,12786712,4871683,1511053,1835487,22251,2,357,5,145,2341,3,77,1140,0,0,0,0,1,836,19791,10576,9215,658,412,246,13263,4579,8684,536,3539,15469,3,1,41639,385,256,73,5,2,40,19,62,22,61,10
R42308,í∑çËåß,éûí√í¨,29339,14116,15223,29127,13988,15139,4532,2471,2061,16883,8197,8686,7859,3396,4463,3785,1482,2303,201,263,272,1450,1560,11435,11407,27913,7592,2992,2961,1656,1235,123,48,2094,1304,1371,1,0,0,149,103,0,5,32,416,12,92,32,141,113,51,118,6,99,15940,3,0,0,974,3346,0,18,466,4148,105,302,542,1518,569,391,2446,335,762,144,148,94,4.1,12302137,3939984,11698936,4087350,2729685,1526130,11024,3,296,4,109,1733,3,97,1438,0,0,0,0,1,643,14052,7424,6628,511,310,201,9432,3420,6012,263,3064,10507,1,1,29746,200,309,115,9,3,32,13,84,16,77,9
R42321,í∑çËåß,ìåîﬁãní¨,7721,3686,4035,7665,3660,4005,853,438,415,3855,1947,1908,2991,1288,1703,1589,590,999,42,29,121,224,247,2705,2687,7197,1519,627,879,424,366,23,2,7429,2942,296,2,0,0,43,36,0,0,9,84,4,4,5,29,24,4,32,4,16,2764,12,0,0,267,627,0,0,272,399,52,9,17,166,200,85,589,29,40,519,230,88.6,12,4953761,758611,4777595,1308734,505505,605617,69209,0,0,3,40,401,2,20,182,0,0,0,0,0,0,4013,2154,1859,108,65,43,2538,923,1615,577,867,2330,2,0,7868,1833,72,26,0,1,7,4,14,7,7,3
R42322,í∑çËåß,êÏíIí¨,13377,6300,7077,13255,6257,6998,1723,892,831,7195,3497,3698,4411,1885,2526,2231,854,1377,98,103,167,518,565,5195,5177,12916,3049,1449,1480,743,724,44,21,3725,1601,544,1,0,1,54,48,1,4,16,151,2,29,11,76,54,11,50,3,32,4465,8,0,26,302,1136,7,14,311,728,23,64,90,278,158,57,1064,32,167,246,147,85.7,8.1,6628503,1261373,6490246,2230101,735980,521943,94640,0,0,3,56,702,1,28,383,0,0,0,0,1,319,6530,3388,3142,222,140,82,4517,1689,2828,278,1656,4470,1,0,13910,3404,133,65,1,1,11,6,31,9,26,5
R42323,í∑çËåß,îgç≤å©í¨,14291,6753,7538,14236,6733,7503,1968,1030,938,7676,3738,3938,4598,1957,2641,2315,847,1468,29,128,176,452,489,5005,4988,13903,2915,1044,1396,710,493,61,15,5600,2113,950,8,0,0,84,360,1,2,19,215,7,3,13,61,61,23,53,8,32,6727,81,0,0,439,2971,3,8,168,1360,56,4,23,320,163,142,827,54,108,476,178,85.2,9.9,7944899,1305322,7815522,2258250,600072,1087679,25102,0,0,3,54,824,1,27,417,0,0,0,0,1,274,7544,3903,3641,217,140,77,4169,1473,2696,300,2496,4585,0,1,14724,3985,144,47,2,1,12,7,24,8,18,5
R42383,í∑çËåß,è¨ílâÍí¨,2288,1054,1234,2282,1052,1230,196,89,107,930,462,468,1162,503,659,621,224,397,6,10,57,89,74,1126,1123,2212,523,479,357,227,299,0,4,2550,1105,156,1,1,0,15,12,0,1,7,52,1,0,0,24,17,0,7,4,14,614,12,13,0,59,54,0,1,23,172,7,0,0,60,31,0,105,41,36,133,53,80.1,5.7,3890112,155957,3679443,651865,133587,331342,2177,0,0,2,20,85,1,12,41,0,0,0,0,1,40,1120,627,493,28,22,6,944,316,628,322,101,696,1,1,2342,521,47,14,0,0,2,1,1,1,1,1
R42391,í∑çËåß,ç≤ÅXí¨,13912,6591,7321,13854,6567,7287,2321,1212,1109,7650,3687,3963,3922,1679,2243,1820,687,1133,48,142,131,661,613,5436,5405,13481,3402,1474,1349,690,677,67,36,3226,1448,667,2,1,0,80,36,1,2,11,205,8,33,17,90,69,19,62,5,26,5119,31,4,0,520,1177,9,6,300,1196,120,73,60,423,275,48,733,33,111,236,88,80.7,8.9,7151021,2136716,6739711,1975617,886931,749530,69258,0,0,2,54,987,1,31,399,0,0,0,0,1,474,6808,3541,3267,223,138,85,4019,1431,2588,316,1760,4626,2,1,13995,1605,166,81,2,0,10,8,14,7,17,4
R42411,í∑çËåß,êVè„å‹ìáí¨,17503,8234,9269,17458,8207,9251,1573,814,759,8449,4273,4176,7478,3146,4332,4045,1425,2620,45,81,368,551,632,8397,8368,16825,4729,3149,2653,1529,1879,45,23,21399,4141,1165,3,17,1,144,90,2,4,32,358,13,15,22,145,111,20,64,29,92,5926,20,228,17,748,454,16,8,315,1441,82,52,55,586,232,27,1024,209,403,36,290,81.3,2.1,17249794,2083849,16883807,3616553,1038304,1561378,262729,3,78,11,109,666,5,67,397,0,0,0,0,2,385,7714,4326,3388,328,231,97,7881,2860,5021,772,1205,5731,7,5,18595,12232,320,98,2,1,19,11,32,12,29,9
